"Subject","Operation","LogonUserDisplayName","LastAccessed","DestFolderPathName","FolderPathName","ClientInfoString","ClientIPAddress","ClientMachineName","ClientProcessName","ClientVersion","LogonType","MailboxResolvedOwnerName","OperationResult","CrossMailboxOp"
"Board & Staff Christmas Party","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Board & Staff Christmas Party","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Board & Staff Christmas Party","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Board & Staff Christmas Party","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Medicine""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Re: Medicine","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Vision""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Re: Medicine","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Re: Medicine","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Re: Medicine","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Vision""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Vision""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"School email receipt: ""Vision""","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"You’ve got the list, we’ve got the gifts 🙌","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"You’ve got the list, we’ve got the gifts 🙌","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"You’ve got the list, we’ve got the gifts 🙌","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"You’ve got the list, we’ve got the gifts 🙌","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Just for you: top teacher supplies!","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Middle School Newsletter","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Just for you: top teacher supplies!","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Just for you: top teacher supplies!","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Just for you: top teacher supplies!","Create","Seth Cox","2/4/2023 11:13:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"3 Gift Ideas for Playful Learning","Create","Seth Cox","2/4/2023 11:12:45 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Middle School Newsletter","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Middle School Newsletter","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Middle School Newsletter","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Middle School Newsletter","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Seating Event: 1000s of chairs on sale","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Seating Event: 1000s of chairs on sale","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Seating Event: 1000s of chairs on sale","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"3 Gift Ideas for Playful Learning","Create","Seth Cox","2/4/2023 11:12:40 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
